Control_ID,Control_Name,Verification_Procedure,Evidence_Required,Pass_Fail,Remediation_Steps,Responsible_Party,Sign-off_Date
HUMAN-IN-THE-LOOP,,,,,,,
HITL-01,Manual command approval enabled,"grep 'approvals.mode' /etc/hermes/config.yaml | grep 'manual'",Config file screenshot,,Set approvals.mode to manual in config.yaml,Security Engineer,
HITL-02,Approval timeout configured,"grep 'approvals.timeout' /etc/hermes/config.yaml",Config file screenshot,,Set approvals.timeout to 60-300 seconds,Security Engineer,
HITL-03,Fail-closed on timeout,"grep 'approvals.fail_closed' /etc/hermes/config.yaml | grep 'true'",Config file screenshot,,Set approvals.fail_closed to true,Security Engineer,
HITL-04,Justification required,"grep 'approvals.require_justification' /etc/hermes/config.yaml | grep 'true'",Config file screenshot,,Set approvals.require_justification to true,Security Engineer,
HITL-05,Escalation configured,"grep 'approvals.escalation.enabled' /etc/hermes/config.yaml | grep 'true'",Config file screenshot,,Configure escalation with secondary approver,Security Engineer,
COMMAND BLOCKLIST,,,,,,,
CMD-01,rm -rf blocked,"grep 'rm -rf' /etc/hermes/config.yaml",Config file screenshot,,Add rm -rf to commands.deny list,Security Engineer,
CMD-02,mkfs blocked,"grep 'mkfs' /etc/hermes/config.yaml",Config file screenshot,,Add mkfs to commands.deny list,Security Engineer,
CMD-03,dd blocked,"grep 'dd if=' /etc/hermes/config.yaml",Config file screenshot,,Add dd to commands.deny list,Security Engineer,
CMD-04,chmod -R 777 blocked,"grep 'chmod -R 777' /etc/hermes/config.yaml",Config file screenshot,,Add chmod -R 777 to commands.deny list,Security Engineer,
CMD-05,sudo su blocked,"grep 'sudo su' /etc/hermes/config.yaml",Config file screenshot,,Add sudo su to commands.deny list,Security Engineer,
CMD-06,Reverse shell patterns blocked,"grep 'nc -e /bin/bash' /etc/hermes/config.yaml",Config file screenshot,,Add reverse shell patterns to commands.deny,Security Engineer,
CMD-07,Pipe-to-bash blocked,"grep 'curl.*| bash' /etc/hermes/config.yaml",Config file screenshot,,Add pipe-to-bash patterns to commands.deny,Security Engineer,
CMD-08,Log tampering blocked,"grep 'rm /var/log' /etc/hermes/config.yaml",Config file screenshot,,Add log tampering patterns to commands.deny,Security Engineer,
CMD-09,Data exfiltration blocked,"grep 'tar czf - /' /etc/hermes/config.yaml",Config file screenshot,,Add data exfil patterns to commands.deny,Security Engineer,
CMD-10,Fork bomb blocked,"grep ':(){ :|:& };:' /etc/hermes/config.yaml",Config file screenshot,,Add fork bomb pattern to commands.deny,Security Engineer,
TERMINAL SANDBOX,,,,,,,
SANDBOX-01,Docker backend enabled,"grep 'terminal.backend' /etc/hermes/config.yaml | grep 'docker'",Config file screenshot,,Set terminal.backend to docker,DevOps Engineer,
SANDBOX-02,Network isolation (none),"grep 'network_mode: none' /etc/hermes/config.yaml",Config file screenshot,,Set terminal.docker.network_mode to none,DevOps Engineer,
SANDBOX-03,Read-only root filesystem,"grep 'read_only_root: true' /etc/hermes/config.yaml",Config file screenshot,,Set terminal.docker.read_only_root to true,DevOps Engineer,
